product_id,product_name,product_category,product_description,price
1,Politics Forget,Toys & Games,"Difficult trip live own skin that. At use production pay song strategy.
Court beat tree particularly might debate. Science visit a among. Hold because hard she.",81.98
2,These Care,Toys & Games,"Meeting knowledge center decade notice. Federal challenge red itself system.
Else history find which truth opportunity. Fall eight above enough top article. Capital would until teach run almost.",35.39
3,Career Decide,Beauty,Use week American address artist explain face. About now subject difference four color. Particularly leader manage hair pressure clear.,445.48
4,Look Discover,Home & Kitchen,"While be hold scientist move stay bit radio. Without serious still determine role opportunity.
Leg development spend necessary whatever. Family threat simple hotel.",278.94
5,Would Decide,Beauty,"True discover large near well. Mind want here ask authority man.
Only wrong recent remain. Yourself Republican knowledge energy but. Suddenly teacher live sister idea.",398.73
6,From Become,Books,Practice man human prevent pattern fire ten. Land together find fall eight another.,79.93
7,Provide Page,Home & Kitchen,"Energy see investment with evidence score. Risk tend two explain join. Before force court ahead operation help institution few.
Research just partner bag. Rest yeah special practice.",308.11
8,Fight Turn,Apparel,Commercial who go very away energy. Man yet source cup service stage goal fast. Hold window finally meet arrive reach similar.,467.35
9,Republican Table,Electronics,"Edge enter sing positive production against doctor.
Particularly address better military toward guess public. Cup whether deal. Economy support enter imagine.",204.02
10,Daughter Police,Electronics,"Tax successful push out. Begin century anything score product. Clearly civil newspaper little hotel.
Be onto compare standard center watch man. Return late feeling leg note task.",147.06
11,Notice Feel,Sports,Analysis bad similar actually. Sound story charge card responsibility successful a poor.,61.89
12,Father Relationship,Tools,"Design prove threat agent success. Edge sing everyone itself price what.
Level wind town indicate account standard. Card organization sure need let religious wall.",208.86
13,Address Imagine,Sports,"Recently city buy statement until. Sit response place thus. All certainly central say.
System cut range strong teach goal. Stock culture seat.",259.4
14,Politics Arm,Sports,"Sport off type hear condition future station. Throw example range.
Media respond natural. Yet daughter scene authority.",229.15
15,More Run,Books,"Sure bed institution voice. Interest goal shoulder worry. Agent yet series people process.
Say tough save. American themselves data now citizen somebody interest approach.",112.61
16,Large Hot,Books,Exist they rest claim fish help bill trial. Water culture management voice manager at return.,253.81
17,Effect Likely,Electronics,"Clearly information research through which figure can into. Particularly than should project suddenly subject walk.
Generation property ago adult seat decision a.",486.75
18,Great President,Electronics,Mr book box glass store Congress work. Involve office rich travel food meet view.,485.86
19,Wait Large,Tools,Instead perform western attorney science century. Particularly bit three stuff strong. Prevent study light turn area authority.,413.14
